age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y (yes or no)  ,probability of yes (or score)
45, Private,239058, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States,,
48, Local-gov,125892, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,,
39, Private,319052, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,37, Philippines,,
26, Private,124111, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States,,
49, Private,116927, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,,
22, Private,124810, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,,
27, Private,226441, Bachelors,13, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States,,
22, Self-emp-inc,171041, Bachelors,13, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,,
28, Private,216604, Some-college,10, Never-married, Other-service, Not-in-family, Black, Male,0,0,14, United-States,,
53, Federal-gov,411700, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,40, United-States,,
65, Federal-gov,44807, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,,
39, State-gov,252662, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,2824,50, United-States,,
40, Private,77391, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,,
19, Private,310483, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States,,
70, Private,573446, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1455,0,40, United-States,,
23, Private,158940, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,55, United-States,,
29, Private,312985, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2129,50, United-States,,
44, Local-gov,159449, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,80, United-States,,
49, Self-emp-not-inc,34845, Assoc-voc,11, Divorced, Transport-moving, Not-in-family, White, Male,0,0,48, United-States,,
44, Private,238188, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,,
58, Self-emp-not-inc,112076, Doctorate,16, Married-AF-spouse, Exec-managerial, Wife, White, Female,0,1485,35, United-States,,
26, Private,236242, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,1590,40, United-States,,
53, Federal-gov,147629, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, United-States,,
45, Private,201080, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,,
21, Private,157595, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States,,
58, Private,185459, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,,
27, Private,213225, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,7298,0,45, England,,
26, Private,195636, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,55, United-States,,
26, Local-gov,113948, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Female,0,0,48, United-States,,
41, Self-emp-inc,60414, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,99, United-States,,
30, State-gov,103651, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
42, Private,191149, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,,
28, Private,77009, Some-college,10, Never-married, Sales, Other-relative, White, Female,0,0,40, United-States,,
31, Private,142921, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,,
59, Federal-gov,99131, HS-grad,9, Never-married, Exec-managerial, Other-relative, White, Female,0,0,40, United-States,,
60, Private,208915, HS-grad,9, Widowed, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, Cambodia,,
55, Federal-gov,54566, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,,
37, Local-gov,156261, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,,
70, Private,146628, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,3471,0,33, United-States,,
51, Self-emp-not-inc,311631, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,,
43, State-gov,107439, Some-college,10, Never-married, Other-service, Not-in-family, Black, Female,0,0,30, United-States,,
23, Private,220993, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States,,
23, Private,189203, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States,,
39, Private,368586, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Female,0,0,37, Puerto-Rico,,
45, Local-gov,198759, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1848,40, United-States,,
32, Private,296897, Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States,,
18, Private,70021, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States,,
36, Private,389725, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,40, Germany,,
33, Private,323985, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,5, United-States,,
21, Private,100345, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,53, United-States,,
66, Private,242589, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,34, United-States,,
65, Self-emp-not-inc,135517, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
22, Local-gov,177475, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,,
36, Private,428251, Bachelors,13, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States,,
21, Private,145964, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,60, United-States,,
46, Self-emp-not-inc,265097, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany,,
20, Private,24274, HS-grad,9, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, United-States,,
66, Private,104936, 10th,6, Widowed, Other-service, Unmarried, White, Female,0,0,38, United-States,,
43, Self-emp-inc,147206, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,27828,0,45, United-States,,
69, Self-emp-not-inc,165017, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
25, Private,106552, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States,,
37, State-gov,49105, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, United-States,,
24, Local-gov,335439, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,,
55, Private,123436, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
28, Private,126743, 5th-6th,3, Never-married, Other-service, Other-relative, White, Male,2176,0,52, Mexico,,
22, Private,100188, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States,,
43, State-gov,598995, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,3103,0,40, United-States,,
43, Private,109762, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States,,
39, Private,247558, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,41, United-States,,
28, Private,63042, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States,,
46, Private,201694, Assoc-acdm,12, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,,
31, Private,305619, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
48, Private,162236, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,,
39, Private,48063, 12th,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,32, United-States,,
50, Private,77521, 11th,7, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States,,
33, Private,219553, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,,
37, Private,51198, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,,
46, Private,76131, 5th-6th,3, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, Philippines,,
31, Private,364657, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,,
51, Local-gov,125796, 11th,7, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,40, United-States,,
57, Self-emp-not-inc,204387, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,10, United-States,,
38, Private,43712, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,55, United-States,,
52, Local-gov,178983, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
29, Private,131913, Some-college,10, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, United-States,,
47, Private,411047, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,37, United-States,,
48, Self-emp-inc,214994, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States,,
27, Private,452963, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,,
49, State-gov,160812, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,,
50, Private,154043, HS-grad,9, Widowed, Adm-clerical, Other-relative, Black, Female,0,0,40, United-States,,
24, Private,433580, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
25, State-gov,31350, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,,
22, Private,278021, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,,
55, Self-emp-inc,298449, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2179,60, United-States,,
39, Self-emp-not-inc,267412, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States,,
40, Self-emp-not-inc,45093, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,,
38, Private,272017, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,,
52, Self-emp-not-inc,95082, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,,
43, Private,290660, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States,,
44, Private,56651, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,,
41, Private,141186, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,,
57, Private,137653, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,,
38, Private,33975, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,,
47, Private,216999, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,,
51, Self-emp-inc,182211, Some-college,10, Divorced, Sales, Own-child, White, Female,0,0,70, United-States,,
63, Private,177063, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,,
47, Private,380922, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States,,
46, Federal-gov,308077, Some-college,10, Separated, Exec-managerial, Unmarried, White, Female,0,0,50, United-States,,
36, State-gov,291676, 9th,5, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,,
64, Private,73413, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,,
53, State-gov,91121, Masters,14, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,,
60, Private,203985, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,,
63, Private,154526, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,,
48, Private,148576, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,,
29, Private,168524, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,,
22, Private,163519, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States,,
36, Self-emp-not-inc,60269, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,,
55, Local-gov,134042, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,,
48, State-gov,98010, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,16, United-States,,
40, Local-gov,99666, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States,,
31, Private,339738, HS-grad,9, Married-civ-spouse, Transport-moving, Other-relative, Black, Male,0,0,40, United-States,,
30, Private,180317, Assoc-voc,11, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,,
20, Private,358355, 9th,5, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States,,
20, Private,69911, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,15, United-States,,
64, Private,38274, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,,
30, Self-emp-not-inc,164461, 11th,7, Divorced, Sales, Unmarried, White, Male,0,653,40, United-States,,
58, Federal-gov,256466, Masters,14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,7688,0,40, China,,
39, Private,57691, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,0,2258,70, United-States,,
47, Private,224752, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,,
31, Private,179415, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico,,
20, Private,367240, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States,,
24, Private,119329, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,,
53, State-gov,195690, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States,,
57, Private,26716, Bachelors,13, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States,,
20, Private,208117, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,18, United-States,,
45, Self-emp-not-inc,176814, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,3411,0,40, United-States,,
53, Private,177063, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,,
20, Private,196388, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,25, United-States,,
44, Private,240448, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States,,
43, Private,331649, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,,
37, Private,29430, HS-grad,9, Divorced, Sales, Unmarried, White, Male,0,0,45, United-States,,
57, Private,137031, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,,
31, Private,54341, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States,,
42, Private,53956, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,,
32, Private,117028, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
22, Private,190290, Bachelors,13, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States,,
46, Self-emp-not-inc,292549, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,,
40, Self-emp-not-inc,170214, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Iran,,
42, State-gov,355756, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States,,
20, Local-gov,186213, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,38, United-States,,
49, Private,291783, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,,
34, Local-gov,191957, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States,,
26, Private,131913, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States,,
23, Private,67311, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Canada,,
39, Private,223792, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,72, United-States,,
31, Private,74501, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,,
45, Federal-gov,109209, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States,,
59, Local-gov,130532, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States,,
40, Self-emp-inc,46221, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,99999,0,55, United-States,,
61, Private,111563, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,27, United-States,,
42, Private,47012, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,,
51, Private,145105, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States,,
36, Private,89202, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,,
42, Private,221947, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,,
19, Self-emp-inc,136848, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,6, United-States,,
38, Private,208109, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, United-States,,
34, Local-gov,113183, Masters,14, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States,,
30, Private,90446, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico,,
27, Private,217530, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,40, El-Salvador,,
22, Private,125010, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States,,
49, Private,118520, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States,,
38, Private,176335, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
42, Private,165309, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,,
58, Private,218764, Assoc-voc,11, Widowed, Prof-specialty, Unmarried, White, Female,0,0,45, United-States,,
40, Private,352971, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,,
33, Private,121966, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,0,0,50, United-States,,
70, Private,210673, 10th,6, Widowed, Adm-clerical, Other-relative, White, Male,0,0,20, United-States,,
36, Private,73023, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States,,
29, Private,269786, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
36, Private,81259, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White, Female,0,0,36, United-States,,
66, Self-emp-not-inc,163726, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,10, United-States,,
36, Private,176249, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,1590,40, United-States,,
31, Private,188798, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,,
28, Private,109494, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1485,40, United-States,,
18, Private,120599, 11th,7, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States,,
33, Private,222654, HS-grad,9, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, United-States,,
33, Private,149902, Some-college,10, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States,,
32, Private,187936, 10th,6, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States,,
52, Private,172962, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
27, Private,26326, Assoc-voc,11, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States,,
36, Private,37522, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States,,
53, Private,233369, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,,
35, Private,154410, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, United-States,,
39, Private,112264, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
42, Self-emp-not-inc,52781, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,,
46, Private,34186, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,,
20, Private,37894, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,30, United-States,,
47, Private,121622, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,,
30, Private,278006, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,,
50, Private,114758, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
19, State-gov,176936, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,,
36, Private,355468, 10th,6, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States,,
22, Private,237386, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States,,
53, Private,816750, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,72, United-States,,
38, Private,453663, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States,,
18, Self-emp-not-inc,161245, 12th,8, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, United-States,,
35, Private,207819, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States,,
45, Private,168232, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,56, United-States,,
40, Private,231348, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
32, Private,226443, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
36, State-gov,47072, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,8, United-States,,
45, State-gov,30219, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,,
29, Local-gov,249932, 11th,7, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States,,
46, Private,224314, Bachelors,13, Widowed, Exec-managerial, Unmarried, White, Female,0,0,20, United-States,,
39, Private,127573, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,30, United-States,,
63, Local-gov,65479, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,7688,0,40, United-States,,
23, Private,140764, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,1590,40, United-States,,
54, Private,141707, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,,
38, Self-emp-inc,186845, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
49, Private,93557, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States,,
36, Private,214807, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States,,
